postal_code,delivery_means,weekday,available_delivery
60066,HD,Πέμπτη,1
60066,HD,Παρασκευή,1
60066,HD,Σάββατο,1
60066,HD,Κυριακή,1
60100,HD,Τετάρτη,1
60100,HD,Πέμπτη,1
60100,HD,Παρασκευή,1
60100,HD,Σάββατο,1
60100,HD,Κυριακή,1
60131,HD,Τετάρτη,1
60131,HD,Πέμπτη,1
60131,HD,Παρασκευή,1
60131,HD,Σάββατο,1
60131,HD,Κυριακή,1
60132,HD,Τετάρτη,1
60132,HD,Πέμπτη,1
60132,HD,Παρασκευή,1
60132,HD,Σάββατο,1
60132,HD,Κυριακή,1
60133,HD,Τετάρτη,1
60133,HD,Πέμπτη,1
60133,HD,Παρασκευή,1
60133,HD,Σάββατο,1
60133,HD,Κυριακή,1
60134,HD,Τετάρτη,1
60134,HD,Πέμπτη,1
60134,HD,Παρασκευή,1
60134,HD,Σάββατο,1
60134,HD,Κυριακή,1
60200,HD,Τετάρτη,1
60200,HD,Πέμπτη,1
60200,HD,Παρασκευή,1
60200,HD,Σάββατο,1
60200,HD,Κυριακή,1
60300,HD,Τετάρτη,1
60300,HD,Πέμπτη,1
60300,HD,Παρασκευή,1
60300,HD,Σάββατο,1
60300,HD,Κυριακή,1
53070,HD,Τετάρτη,1
53070,HD,Πέμπτη,1
53070,HD,Παρασκευή,1
53070,HD,Σάββατο,1
53070,HD,Κυριακή,1
53071,FRW,null,1
53072,FRW,null,1
53073,FRW,null,1
53074,FRW,null,1
53075,FRW,null,1
53076,FRW,null,1
53077,FRW,null,1
53100,FRW,null,1
53200,HD,Τετάρτη,1
53200,HD,Πέμπτη,1
53200,HD,Παρασκευή,1
53200,HD,Σάββατο,1
53200,HD,Κυριακή,1
50007,FRW,null,1
52050,FRW,null,1
52051,FRW,null,1
52052,FRW,null,1
52053,FRW,null,1
52055,FRW,null,1
52056,FRW,null,1
52057,FRW,null,1
52058,FRW,null,1
52059,FRW,null,1
52100,FRW,null,1
52200,FRW,null,1
51030,FRW,null,1
51032,FRW,null,1
51100,HD,Τετάρτη,1
51100,HD,Πέμπτη,1
51100,HD,Παρασκευή,1
51100,HD,Σάββατο,1
51100,HD,Κυριακή,1
51200,FRW,null,1
50001,HD,Τετάρτη,1
50001,HD,Πέμπτη,1
50001,HD,Παρασκευή,1
50001,HD,Σάββατο,1
50001,HD,Κυριακή,1
50002,FRW,null,1
50003,FRW,null,1
50004,HD,Τετάρτη,1
50004,HD,Πέμπτη,1
50004,HD,Παρασκευή,1
50004,HD,Σάββατο,1
50004,HD,Κυριακή,1
50005,FRW,null,1
50006,FRW,null,1
50010,HD,Τετάρτη,1
50010,HD,Πέμπτη,1
50010,HD,Παρασκευή,1
50010,HD,Σάββατο,1
50010,HD,Κυριακή,1
50100,HD,Τετάρτη,1
50100,HD,Πέμπτη,1
50100,HD,Παρασκευή,1
50100,HD,Σάββατο,1
50100,HD,Κυριακή,1
50131,HD,Τετάρτη,1
50131,HD,Πέμπτη,1
50131,HD,Παρασκευή,1
50131,HD,Σάββατο,1
50131,HD,Κυριακή,1
50132,HD,Τετάρτη,1
50132,HD,Πέμπτη,1
50132,HD,Παρασκευή,1
50132,HD,Σάββατο,1
50132,HD,Κυριακή,1
50200,HD,Τετάρτη,1
50200,HD,Πέμπτη,1
50200,HD,Παρασκευή,1
50200,HD,Σάββατο,1
50200,HD,Κυριακή,1
50300,HD,Τετάρτη,1
50300,HD,Πέμπτη,1
50300,HD,Παρασκευή,1
50300,HD,Σάββατο,1
50300,HD,Κυριακή,1
50400,HD,Τετάρτη,1
50400,HD,Πέμπτη,1
50400,HD,Παρασκευή,1
50400,HD,Σάββατο,1
50400,HD,Κυριακή,1
50500,HD,Τετάρτη,1
50500,HD,Πέμπτη,1
50500,HD,Παρασκευή,1
50500,HD,Σάββατο,1
50500,HD,Κυριακή,1
36070,FRW,null,1
36071,FRW,null,1
36072,FRW,null,1
36073,FRW,null,1
36074,FRW,null,1
36076,FRW,null,1
36080,FRW,null,1
36100,FRW,null,1
34001,FRW,null,1
34002,HD,Τετάρτη,1
34002,HD,Πέμπτη,1
34002,HD,Παρασκευή,1
34002,HD,Σάββατο,1
34002,HD,Κυριακή,1
34003,HD,Τετάρτη,1
34003,HD,Πέμπτη,1
34003,HD,Παρασκευή,1
34003,HD,Σάββατο,1
34003,HD,Κυριακή,1
34004,HD,Τετάρτη,1
34004,HD,Πέμπτη,1
34004,HD,Παρασκευή,1
34004,HD,Σάββατο,1
34004,HD,Κυριακή,1
34005,HD,Τετάρτη,1
34005,HD,Πέμπτη,1
34005,HD,Παρασκευή,1
34005,HD,Σάββατο,1
34005,HD,Κυριακή,1
34006,HD,Τετάρτη,1
34006,HD,Πέμπτη,1
34006,HD,Παρασκευή,1
34006,HD,Σάββατο,1
34006,HD,Κυριακή,1
34008,HD,Τετάρτη,1
34008,HD,Πέμπτη,1
34008,HD,Παρασκευή,1
34008,HD,Σάββατο,1
34008,HD,Κυριακή,1
34009,HD,Τετάρτη,1
34009,HD,Πέμπτη,1
34009,HD,Παρασκευή,1
34009,HD,Σάββατο,1
34009,HD,Κυριακή,1
34010,HD,Τετάρτη,1
34010,HD,Πέμπτη,1
34010,HD,Παρασκευή,1
34010,HD,Σάββατο,1
34010,HD,Κυριακή,1
34012,HD,Τετάρτη,1
34012,HD,Πέμπτη,1
34012,HD,Παρασκευή,1
34012,HD,Σάββατο,1
34012,HD,Κυριακή,1
34013,FRW,null,1
34014,HD,Τετάρτη,1
34014,HD,Πέμπτη,1
34014,HD,Παρασκευή,1
34014,HD,Σάββατο,1
34014,HD,Κυριακή,1
34015,FRW,null,1
34016,FRW,null,1
34017,FRW,null,1
34131,HD,Τετάρτη,1
34131,HD,Πέμπτη,1
34131,HD,Παρασκευή,1
34131,HD,Σάββατο,1
34131,HD,Κυριακή,1
34132,HD,Τετάρτη,1
34132,HD,Πέμπτη,1
34132,HD,Παρασκευή,1
34132,HD,Σάββατο,1
34132,HD,Κυριακή,1
34133,HD,Τετάρτη,1
34133,HD,Πέμπτη,1
34133,HD,Παρασκευή,1
34133,HD,Σάββατο,1
34133,HD,Κυριακή,1
34150,HD,Τετάρτη,1
34150,HD,Πέμπτη,1
34150,HD,Παρασκευή,1
34150,HD,Σάββατο,1
34150,HD,Κυριακή,1
34200,HD,Τετάρτη,1
34200,HD,Πέμπτη,1
34200,HD,Παρασκευή,1
34200,HD,Σάββατο,1
34200,HD,Κυριακή,1
34300,FRW,null,1
34400,HD,Τετάρτη,1
34400,HD,Πέμπτη,1
34400,HD,Παρασκευή,1
34400,HD,Σάββατο,1
34400,HD,Κυριακή,1
34500,HD,Τετάρτη,1
34500,HD,Πέμπτη,1
34500,HD,Παρασκευή,1
34500,HD,Σάββατο,1
34500,HD,Κυριακή,1
34600,HD,Τετάρτη,1
34600,HD,Πέμπτη,1
34600,HD,Παρασκευή,1
34600,HD,Σάββατο,1
34600,HD,Κυριακή,1
33050,HD,Τετάρτη,1
33050,HD,Πέμπτη,1
33050,HD,Παρασκευή,1
33050,HD,Σάββατο,1
33050,HD,Κυριακή,1
33051,FRW,null,1
33052,HD,Τετάρτη,1
33052,HD,Πέμπτη,1
33052,HD,Παρασκευή,1
33052,HD,Σάββατο,1
33052,HD,Κυριακή,1
33053,FRW,null,1
33054,HD,Τετάρτη,1
33054,HD,Πέμπτη,1
33054,HD,Παρασκευή,1
33054,HD,Σάββατο,1
33054,HD,Κυριακή,1
33056,FRW,null,1
33057,FRW,null,1
33058,HD,Τετάρτη,1
33058,HD,Πέμπτη,1
33058,HD,Παρασκευή,1
33058,HD,Σάββατο,1
33058,HD,Κυριακή,1
33061,FRW,null,1
33100,HD,Τετάρτη,1
33100,HD,Πέμπτη,1
33100,HD,Παρασκευή,1
33100,HD,Σάββατο,1
33100,HD,Κυριακή,1
33200,HD,Τετάρτη,1
33200,HD,Πέμπτη,1
33200,HD,Παρασκευή,1
33200,HD,Σάββατο,1
33200,HD,Κυριακή,1
32001,HD,Τετάρτη,1
32001,HD,Πέμπτη,1
32001,HD,Παρασκευή,1
32001,HD,Σάββατο,1
32001,HD,Κυριακή,1
32002,HD,Τετάρτη,1
32002,HD,Πέμπτη,1
32002,HD,Παρασκευή,1
32002,HD,Σάββατο,1
32002,HD,Κυριακή,1
32003,HD,Τετάρτη,1
32003,HD,Πέμπτη,1
32003,HD,Παρασκευή,1
32003,HD,Σάββατο,1
32003,HD,Κυριακή,1
32004,HD,Τετάρτη,1
32004,HD,Πέμπτη,1
32004,HD,Παρασκευή,1
32004,HD,Σάββατο,1
32004,HD,Κυριακή,1
32005,HD,Τετάρτη,1
32005,HD,Πέμπτη,1
32005,HD,Παρασκευή,1
32005,HD,Σάββατο,1
32005,HD,Κυριακή,1
32006,HD,Τετάρτη,1
32006,HD,Πέμπτη,1
32006,HD,Παρασκευή,1
32006,HD,Σάββατο,1
32006,HD,Κυριακή,1
32007,HD,Τετάρτη,1
32007,HD,Πέμπτη,1
32007,HD,Παρασκευή,1
32007,HD,Σάββατο,1
32007,HD,Κυριακή,1
32008,HD,Τετάρτη,1
32008,HD,Πέμπτη,1
32008,HD,Παρασκευή,1
32008,HD,Σάββατο,1
32008,HD,Κυριακή,1
32009,HD,Τετάρτη,1
32009,HD,Πέμπτη,1
32009,HD,Παρασκευή,1
32009,HD,Σάββατο,1
32009,HD,Κυριακή,1
32010,HD,Τετάρτη,1
32010,HD,Πέμπτη,1
32010,HD,Παρασκευή,1
32010,HD,Σάββατο,1
32010,HD,Κυριακή,1
32011,HD,Τετάρτη,1
32011,HD,Πέμπτη,1
32011,HD,Παρασκευή,1
32011,HD,Σάββατο,1
32011,HD,Κυριακή,1
32012,HD,Τετάρτη,1
32012,HD,Πέμπτη,1
32012,HD,Παρασκευή,1
32012,HD,Σάββατο,1
32012,HD,Κυριακή,1
32100,HD,Τετάρτη,1
32100,HD,Πέμπτη,1
32100,HD,Παρασκευή,1
32100,HD,Σάββατο,1
32100,HD,Κυριακή,1
32131,HD,Τετάρτη,1
32131,HD,Πέμπτη,1
32131,HD,Παρασκευή,1
32131,HD,Σάββατο,1
32131,HD,Κυριακή,1
32200,HD,Τετάρτη,1
32200,HD,Πέμπτη,1
32200,HD,Παρασκευή,1
32200,HD,Σάββατο,1
32200,HD,Κυριακή,1
32300,HD,Τετάρτη,1
32300,HD,Πέμπτη,1
32300,HD,Παρασκευή,1
32300,HD,Σάββατο,1
32300,HD,Κυριακή,1
44001,FRW,null,1
44002,FRW,null,1
44003,HD,Τετάρτη,1
44003,HD,Πέμπτη,1
44003,HD,Παρασκευή,1
44003,HD,Σάββατο,1
44003,HD,Κυριακή,1
44004,HD,Τετάρτη,1
44004,HD,Πέμπτη,1
44004,HD,Παρασκευή,1
44004,HD,Σάββατο,1
44004,HD,Κυριακή,1
44006,FRW,null,1
44007,HD,Τετάρτη,1
44007,HD,Πέμπτη,1
44007,HD,Παρασκευή,1
44007,HD,Σάββατο,1
44007,HD,Κυριακή,1
44009,FRW,null,1
44010,FRW,null,1
44012,HD,Τετάρτη,1
44012,HD,Πέμπτη,1
44012,HD,Παρασκευή,1
44012,HD,Σάββατο,1
44012,HD,Κυριακή,1
44013,FRW,null,1
44014,FRW,null,1
44015,FRW,null,1
44017,HD,Τετάρτη,1
44017,HD,Πέμπτη,1
44017,HD,Παρασκευή,1
44017,HD,Σάββατο,1
44017,HD,Κυριακή,1
44019,FRW,null,1
44100,FRW,null,1
44200,HD,Τετάρτη,1
44200,HD,Πέμπτη,1
44200,HD,Παρασκευή,1
44200,HD,Σάββατο,1
44200,HD,Κυριακή,1
45221,HD,Τετάρτη,1
45221,HD,Πέμπτη,1
45221,HD,Παρασκευή,1
45221,HD,Σάββατο,1
45221,HD,Κυριακή,1
45332,HD,Τετάρτη,1
45332,HD,Πέμπτη,1
45332,HD,Παρασκευή,1
45332,HD,Σάββατο,1
45332,HD,Κυριακή,1
45333,HD,Τετάρτη,1
45333,HD,Πέμπτη,1
45333,HD,Παρασκευή,1
45333,HD,Σάββατο,1
45333,HD,Κυριακή,1
45444,HD,Τετάρτη,1
45444,HD,Πέμπτη,1
45444,HD,Παρασκευή,1
45444,HD,Σάββατο,1
45444,HD,Κυριακή,1
45445,HD,Τετάρτη,1
45445,HD,Πέμπτη,1
45445,HD,Παρασκευή,1
45445,HD,Σάββατο,1
45445,HD,Κυριακή,1
45500,HD,Τετάρτη,1
45500,HD,Πέμπτη,1
45500,HD,Παρασκευή,1
45500,HD,Σάββατο,1
45500,HD,Κυριακή,1
46030,HD,Τετάρτη,1
46030,HD,Πέμπτη,1
46030,HD,Παρασκευή,1
46030,HD,Σάββατο,1
46030,HD,Κυριακή,1
46100,HD,Τετάρτη,1
46100,HD,Πέμπτη,1
46100,HD,Παρασκευή,1
46100,HD,Σάββατο,1
46100,HD,Κυριακή,1
46200,HD,Τετάρτη,1
46200,HD,Πέμπτη,1
46200,HD,Παρασκευή,1
46200,HD,Σάββατο,1
46200,HD,Κυριακή,1
46300,HD,Τετάρτη,1
46300,HD,Πέμπτη,1
46300,HD,Παρασκευή,1
46300,HD,Σάββατο,1
46300,HD,Κυριακή,1
48060,HD,Τετάρτη,1
48060,HD,Πέμπτη,1
48060,HD,Παρασκευή,1
48060,HD,Σάββατο,1
48060,HD,Κυριακή,1
48061,FRW,null,1
48062,FRW,null,1
48100,HD,Τετάρτη,1
48100,HD,Πέμπτη,1
48100,HD,Παρασκευή,1
48100,HD,Σάββατο,1
48100,HD,Κυριακή,1
48200,HD,Τετάρτη,1
48200,HD,Πέμπτη,1
48200,HD,Παρασκευή,1
48200,HD,Σάββατο,1
48200,HD,Κυριακή,1
48300,HD,Τετάρτη,1
48300,HD,Πέμπτη,1
48300,HD,Παρασκευή,1
48300,HD,Σάββατο,1
48300,HD,Κυριακή,1
47041,HD,Τετάρτη,1
47041,HD,Πέμπτη,1
47041,HD,Παρασκευή,1
47041,HD,Σάββατο,1
47041,HD,Κυριακή,1
47042,HD,Τετάρτη,1
47042,HD,Πέμπτη,1
47042,HD,Παρασκευή,1
47042,HD,Σάββατο,1
47042,HD,Κυριακή,1
47043,HD,Τετάρτη,1
47043,HD,Πέμπτη,1
47043,HD,Παρασκευή,1
47043,HD,Σάββατο,1
47043,HD,Κυριακή,1
47044,FRW,null,1
47045,HD,Τετάρτη,1
47045,HD,Πέμπτη,1
47045,HD,Παρασκευή,1
47045,HD,Σάββατο,1
47045,HD,Κυριακή,1
47046,HD,Τετάρτη,1
47046,HD,Πέμπτη,1
47046,HD,Παρασκευή,1
47046,HD,Σάββατο,1
47046,HD,Κυριακή,1
47047,FRW,null,1
47048,FRW,null,1
47100,HD,Τετάρτη,1
47100,HD,Πέμπτη,1
47100,HD,Παρασκευή,1
47100,HD,Σάββατο,1
47100,HD,Κυριακή,1
47131,HD,Τετάρτη,1
47131,HD,Πέμπτη,1
47131,HD,Παρασκευή,1
47131,HD,Σάββατο,1
47131,HD,Κυριακή,1
47132,HD,Τετάρτη,1
47132,HD,Πέμπτη,1
47132,HD,Παρασκευή,1
47132,HD,Σάββατο,1
47132,HD,Κυριακή,1
47200,HD,Τετάρτη,1
47200,HD,Πέμπτη,1
47200,HD,Παρασκευή,1
47200,HD,Σάββατο,1
47200,HD,Κυριακή,1
